Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
"Khairudin, M.; Fajar Dwi U, A.; Hakim, M.L.; Widowati, A.; Prasetyo, E.; Kurniawan, Y.; Azman, M.N.A.",Khairudin et al. (2023),IoT-based Smartfarm Technology for Rice Farming,"IoT-based smartfarm for rice — soil moisture, water level, air humidity, temperature monitoring","IoT, soil sensors, temperature/humidity sensors, web dashboard",,Yes,https://doi.org/10.25077/jnte.v12n2.1102.2023,"Develops IoT smartfarm system for rice cultivation in tropical Indonesia where dry-season water scarcity causes crop failure. Integrates ICTs to measure soil moisture, water level, air humidity, and temperature in real-time via a Smartfarm web accessible on smartphones.",Indonesia,"IoT sensors, microcontroller, Smartfarm web dashboard",SEA_CORE,2.2 IoT,No
"Thi, P.",Thi (2024),IoT Applications in Agriculture: Enhancing Crop Yield in Vietnam,IoT applications for soil monitoring and crop yield enhancement in Vietnam,"IoT, sensors (soil moisture, temperature, humidity), digital platform",,Yes,https://doi.org/10.47604/ajcet.2809,"Reviews IoT applications that have enhanced crop yield in Vietnam. Farmers use sensors and IoT devices to monitor soil moisture, temperature, and humidity in real-time, enabling optimization of irrigation and fertilization schedules.",Vietnam,"IoT sensors, cloud platform",SEA_CORE,2.2 IoT,No
"Trinh, D.C.; Mac, A.T.; Dang, K.G.; Nguyen, H.T.; Nguyen, H.T.; Bui, T.D.",Trinh et al. (2024),Alpha-EIOU-YOLOv8: An Improved Algorithm for Rice Leaf Disease Detection,"Rice leaf disease detection — blast, leaf folder, brown spot — using improved YOLOv8","Deep learning, YOLOv8, EIoU loss, α-IoU loss, object detection",,Yes,https://doi.org/10.3390/agriengineering6010018,"Proposes Alpha-EIOU-YOLOv8, a modified YOLOv8 replacing the standard Box Loss with a combination of EIoU and α-IoU loss functions to improve rice leaf disease detection. Detects three diseases (blast, leaf folder, brown spot) from field images. Achieves 89.9% accuracy on a dataset of 3,175 images.",Vietnam,"YOLOv8, Python, PyTorch",SEA_CORE,2.4 AI Models,No
"Lu, Y.; Yu, J.; Zhu, X. et al.",Lu et al. (2024),YOLOv8-Rice: a rice leaf disease detection model based on YOLOv8,Rice leaf disease detection using modified YOLOv8 with deformable convolutions and BiFPN,"Deep learning, YOLOv8n, deformable convolution, BiFPN feature fusion",,Yes,https://doi.org/10.1007/s10333-024-00990-w,Develops YOLOv8-Rice by incorporating deformable convolutions into the C2f module and replacing the neck with a weighted bidirectional feature pyramid network (BiFPN). Designed for efficient rice leaf disease detection applicable in rice-growing regions including Southeast Asia.,China,"YOLOv8, deformable convolution, BiFPN",GLOBAL_BG,2.4 AI Models,No
"Abu Sari, M.; Mohmad Hassim, Y.; Hidayat, R.; Ahmad, A.",Abu Sari et al. (2021),Monitoring Rice Crop and Paddy Field Condition Using UAV RGB Imagery,UAV RGB imaging for rice variety monitoring and paddy field condition assessment — seed certification support,"UAV, RGB camera, Agisoft PhotoScan, multirotor drone",Multirotor,Yes,https://doi.org/10.30630/joiv.5.4.742,Develops a drone image-based rice variety monitoring system to support seed certification inspection in Malaysia. Uses a multirotor UAV with RGB digital camera and Agisoft PhotoScan for image processing. Demonstrates affordable UAV-based crop monitoring using standard RGB imagery.,Malaysia,"UAV, RGB camera, Agisoft PhotoScan",SEA_CORE,2.1 Remote Sensing,No
"Maulana, N.; Zahari, M.; Mustaffha, N.; Ruslan, M.; Shamsi, S.; El Pebrian, D.",Maulana et al. (2024),"The Adoption of Drones Spraying Application in Bagan Terap, Malaysian Paddy Field: Farmer Perspectives and Technology Acceptance","UAV drone spraying adoption in Malaysian paddy fields — farmer attitude, social influence, economic factors","Survey, structural equation, technology acceptance model",Sprayer UAV,Yes,https://doi.org/10.53797/agrotech.v3i2.2.2024,"Surveys 88 farmers in IADA Bagan Terap on drone sprayer adoption. Finds positive outlook overall; attitude, social influence, economic factors, and perceived risk significantly predict willingness to adopt. Drones reduce spraying time by ≥33% vs. manual methods.",Malaysia,"Survey, correlation analysis",SEA_CORE,5 Pathways,No
"Nguyen, L.L.H.; Khuu, D.T.; Halibas, A.; Nguyen, T.Q.",Nguyen et al. (2024),Factors That Influence the Intention of Smallholder Rice Farmers to Adopt Cleaner Production Practices: An Empirical Study of Precision Agriculture Adoption,"Precision agriculture adoption intention — smallholder rice farmers, cooperatives, lead-firm role, Vietnam","Survey, structural equation modeling, TAM",,Yes,https://doi.org/10.1177/0193841X231200775,Examines factors influencing precision agriculture adoption by Vietnamese smallholder rice farmers. Highlights role of agricultural cooperatives as innovation intermediaries and lead firms' support. Average farm size (~1.2 ha) limits uptake; experts suggest ≥3–5 ha needed. Published in Evaluation Review 2024.,Vietnam,"Survey, SEM",SEA_CORE,5 Pathways,No
"Hoang, H.G.; Tran, H.D.",Hoang & Tran (2023),Smallholder farmers' perception and adoption of digital agricultural technologies: An empirical evidence from Vietnam,"Digital agriculture technology adoption by smallholder farmers — internet/connectivity, mobile apps, digital platforms, South Central Vietnam","Survey, binary logistic regression",,Yes,https://doi.org/10.1177/00307270231197825,"Surveys 202 smallholder farmers in South Central Vietnam on digital technology adoption. Internet/connectivity and mobile apps are the most-used technologies. Younger, more educated farmers with larger farms and scientist interactions are more likely adopters. Published in Outlook on Agriculture 2023.",Vietnam,"Survey, logistic regression",SEA_CORE,5 Pathways,No
"Sen, L.T.H.; Chou, P.; Dacuyan, F.B.; Nyberg, Y.; Wetterlind, J.",Sen et al. (2024),"Barriers and enablers of digital extension services' adoption among smallholder farmers: the case of Cambodia, the Philippines and Vietnam","Digital extension services adoption barriers and enablers — smallholder farmers, multi-country SEA","Survey, SEM, Theory of Planned Behaviour",,Yes,https://doi.org/10.1080/14735903.2024.2368351,"Surveys 937 farmers in Cambodia, Philippines, and Vietnam on barriers and enablers of digital extension service adoption using Theory of Planned Behaviour and structural equation modelling. Identifies farmer attitudes, subjective norms, and perceived behavioral control as key drivers.",Cambodia; Philippines; Vietnam,"Survey, SEM, TPB",SEA_CORE,5 Pathways,No
"Muangprathub, J.; Boonnam, N.; Kajornkasirat, S.; Lekbangpong, N.; Wanichsombat, A.; Nillaor, P.",Muangprathub et al. (2019),IoT and agriculture data analysis for smart farm,"IoT smart farm — soil moisture/temperature/humidity sensors, wireless sensor network, automatic irrigation, data mining for crop management, LINE API notifications","IoT, WSN, soil moisture sensors, data mining, mobile app, web app, LINE API",,Yes,https://doi.org/10.1016/j.compag.2018.12.011,"Proposes an IoT-based smart farm system for optimal irrigation using wireless soil moisture sensors, a web application with data mining for predicting optimal temperature/humidity/soil moisture, and a smartphone control app with LINE API notifications. Tested in Makhamtia District, Surat Thani Province, Thailand. Reduces costs and increases productivity. Published in COMPAG 156:467–474.",Thailand,"IoT sensors, WSN, data mining, LINE API, mobile/web app",SEA_CORE,2.2 IoT,No
"Choosumrong, S.; Piyathamrongchai, K.; Hataitara, R.; Soteyome, U.; Konkong, N.; Chalongsuppunyoo, R.; Raghavan, V.; Nemoto, T.",Choosumrong et al. (2025),Development of an IoT-Based Flood Monitoring System Integrated with GIS for Lowland Agricultural Areas,"IoT flood monitoring with GIS for lowland agricultural areas — ultrasonic water-level sensors, 1-m DEM, Python geospatial analysis, real-time inundation mapping","IoT, ultrasonic sensors, GIS, DEM, Python geospatial analysis, flood monitoring",,Yes,https://doi.org/10.3390/s25175477,"Develops an IoT flood monitoring system integrated with GIS for lowland agricultural areas in Thailand. Ten ultrasonic sensor stations monitor water levels; data is processed with 1-m DEM and Python geospatial analysis to generate real-time inundation maps. Naresuan University, Phitsanulok. Sensors 2025, 25(17):5477.",Thailand,"IoT, ultrasonic sensors, GIS, DEM, Python",SEA_CORE,2.2 IoT,No
"Prasanjana V., Herath I.S., Senadheera U.E., Darshani N.P., Suwan B.V.S., Madusanka C., Takimoto Y., Amila B., Hewawsam C., Jayasanka D.J., Nakayama T.",Jayasanka et al. (2025),Review of current robotic approaches for weed management in paddy cultivation,"Review of robotic weed management in paddy — mechanical, chemical, laser weeding; GNSS, LiDAR, AI-based navigation; amphibious platforms","Robotics, VRT, GNSS, LiDAR, AI, deep learning, laser weeding, mechanical weeding",,Yes,https://doi.org/10.1016/j.jafr.2025.102516,"Systematic review of robotic weed management technologies for paddy cultivation. Covers integration of mechanical/chemical/laser weeding with imaging systems, sensor technologies, AI algorithms, and robot navigation. Identifies challenges: high cost, terrain adaptability, socio-cultural resistance to adoption. Smart Agricultural Technology, 2025.","Sri Lanka, Japan","ML, GNSS, Computer Vision",GLOBAL_BG,2.3 Robotics,No
"Teoh Kean Hao, Lai Nai Shyan",Teoh & Lai (2024),Autonomous Harvesting Robot for Oil Palm Plantation: A Review,"Review of autonomous oil palm harvesting robots — ripeness detection, cutting mechanism, tree climbing, trajectory planning, localisation, navigation","Robotics, computer vision, machine learning, GPS, autonomous navigation",,Yes,https://doi.org/10.21894/jopr.2024.0008,"Reviews six key technologies for autonomous oil palm harvesting robots: ripeness detection, cutting mechanism, tree climbing, motion trajectory planning, localisation, and navigation/obstacle avoidance. Journal of Oil Palm Research, 2024. Relevant to Malaysia's labor-shortage-driven robotics adoption.",Malaysia,"Robotics, Computer Vision, GPS",SEA_CORE,2.3 Robotics,No
[Authors TBC — see DOI],Authors TBC (2024b),Oil Palm Loose Fruit Detection Using YOLOv4 for an Autonomous Mobile Robot Collector,"Oil palm loose fruit detection using YOLOv4 for autonomous mobile robot — image processing, GPS-based navigation, obstacle avoidance","YOLOv4, deep learning, object detection, autonomous robot, GPS navigation",,Yes,https://doi.org/10.1109/ACCESS.2024.3446890,"Applies YOLOv4 object detection for identifying oil palm loose fruits to guide an autonomous mobile robot collector. Integrates image processing, GPS-based human-follower and back-to-home navigation, and obstacle avoidance. IEEE Access, accepted August 2024.",Malaysia,"YOLOv4, deep learning, autonomous robot, GPS",SEA_CORE,2.3 Robotics; 2.4 AI Models,No
"Ting, Y.T.; Chan, K.Y.",Ting & Chan (2024),Optimising performances of LoRa based IoT enabled wireless sensor network for smart agriculture,"LoRa-IoT wireless sensor network for fruit and vegetable farms in Malaysia — optimising frequency, distance, and weather performance for affordable smart farm deployments","LoRa, IoT, WSN, soil moisture, temperature, humidity sensors",,Yes,https://doi.org/10.1016/j.jafr.2024.101093,"Optimises IoT LoRa parameter settings for affordable smart farm solutions targeting Malaysian fruit and vegetable farms. Investigates effects of LoRa frequency, distance, and weather conditions on system performance. Published in Journal of Agriculture and Food Research, 2024.",Malaysia,"LoRa, IoT, WSN, soil/weather sensors",SEA_CORE,2.2 IoT,No
"Mastul, A.H.; Awae, A.; Bara, Z.J.; Yaro, Y.",Mastul et al. (2023),The Use of IoT on Smart Agriculture in the Philippines: A Narrative Review,"Narrative review of IoT applications in Philippine agriculture — crop monitoring, livestock tracking, weather monitoring, automated irrigation, greenhouse automation, field mapping","IoT, sensors, automated irrigation, greenhouse automation, field mapping",,Yes,https://doi.org/10.56741/bst.v2i03.416,"Narrative review of IoT technology implementation in Philippine agriculture. Covers crop monitoring, livestock tracking, weather monitoring, automated irrigation, precision steering, greenhouse automation, and field mapping. Bincang Sains dan Teknologi, Vol. 2, No. 03, pp. 98–107.",Philippines,"IoT sensors, automated systems",SEA_CORE,2.2 IoT,No
